,satisfaction_life,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_services,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_world_poor,country,gender,age,degree,weight
137,10,8,5,7,6,6,Allow a few,Allow some,Allow some,Austria,Male,67.0,False,0.28896104300000003
138,8,5,0,3,2,5,Allow a few,Allow some,Allow many to come and live here,Austria,Female,69.0,False,0.168206595
139,4,4,2,4,6,7,Allow a few,Allow a few,Allow a few,Austria,Male,41.0,False,0.281273073
140,7,9,2,4,8,8,Allow many to come and live here,Allow some,Allow many to come and live here,Austria,Male,18.0,False,0.42448945200000004
141,8,9,0,3,6,7,Allow many to come and live here,Allow many to come and live here,Allow some,Austria,Female,42.0,False,0.37760488600000003
142,8,8,8,8,8,8,Allow many to come and live here,Allow some,Allow some,Austria,Male,21.0,False,0.273782892
143,9,7,5,6,3,8,Allow many to come and live here,Allow a few,Allow a few,Austria,Male,75.0,False,0.358627105
144,10,6,5,5,2,7,Allow a few,Allow a few,Allow a few,Austria,Female,51.0,False,0.702271133
145,7,9,0,6,3,7,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,48.0,True,0.35249429
146,8,5,2,8,2,10,Allow some,Allow some,Allow none,Austria,Female,71.0,False,0.137557909
147,9,6,6,6,4,5,Allow a few,Allow some,Allow some,Austria,Female,77.0,False,0.165368753
148,9,9,0,3,7,8,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Male,40.0,False,0.183105262
149,9,7,6,7,7,7,Allow some,Allow some,Allow some,Austria,Male,33.0,False,0.358627105
150,2,7,6,8,7,8,Allow a few,Allow none,Allow none,Austria,Male,60.0,False,0.355555719
151,7,10,5,5,3,8,Allow some,Allow some,Allow a few,Austria,Female,78.0,True,0.16196929699999998
152,8,5,1,3,10,10,Allow a few,Allow a few,Allow a few,Austria,Female,26.0,False,0.281273073
153,7,5,6,4,2,6,Allow a few,Allow none,Allow none,Austria,Female,40.0,False,0.549315769
154,10,6,6,8,9,8,Allow some,Allow a few,Allow some,Austria,Male,47.0,False,0.17408436600000002
155,8,5,6,5,6,7,Allow a few,Allow a few,Allow none,Austria,Female,34.0,True,0.308757136
156,8,7,1,4,3,7,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,65.0,True,0.129022886
157,4,4,5,5,5,7,Allow a few,Allow a few,Allow a few,Austria,Male,49.0,False,0.346984865
158,9,9,9,9,9,8,Allow some,Allow a few,Allow a few,Austria,Female,58.0,False,0.141496488
159,7,8,8,6,7,8,Allow none,Allow none,Allow none,Austria,Male,38.0,False,0.332690826
160,8,8,8,8,9,10,Allow some,Allow some,Allow some,Austria,Male,17.0,False,0.65707206
161,9,8,5,7,7,8,Allow some,Allow a few,Allow a few,Austria,Female,24.0,False,0.232754586
162,8,6,5,6,4,6,Allow a few,Allow a few,Allow a few,Austria,Female,28.0,False,0.108680723
163,8,6,5,8,7,8,Allow some,Allow a few,Allow a few,Austria,Female,60.0,False,0.18488392899999997
164,5,5,3,5,1,5,Allow some,Allow a few,Allow a few,Austria,Female,79.0,False,0.206594848
165,7,8,7,7,8,8,Allow some,Allow some,Allow some,Austria,Male,50.0,True,0.33736773600000003
166,10,8,4,7,7,8,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,61.0,False,0.249879095
167,9,8,7,8,7,8,Allow some,Allow some,Allow some,Austria,Male,82.0,False,0.297287834
168,10,7,5,7,8,5,Allow some,Allow some,Allow some,Austria,Female,18.0,False,0.616877908
169,5,5,5,5,5,10,Allow a few,Allow some,Allow none,Austria,Male,65.0,False,0.358200071
170,6,7,10,8,5,4,Allow a few,Allow none,Allow none,Austria,Male,30.0,False,0.17931355300000001
171,6,7,0,5,8,8,Allow none,Allow none,Allow none,Austria,Male,55.0,False,0.376238791
172,8,9,9,9,8,8,Allow a few,Allow none,Allow none,Austria,Male,56.0,False,0.11399522599999999
173,8,7,3,5,6,5,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Male,34.0,True,0.164259416
174,10,10,7,10,5,7,Allow many to come and live here,Allow some,Allow some,Austria,Female,46.0,True,0.17931355300000001
175,9,10,6,10,7,10,Allow many to come and live here,Allow many to come and live here,Allow some,Austria,Female,45.0,False,0.534546095
176,9,8,6,8,8,8,Allow some,Allow a few,Allow a few,Austria,Male,57.0,False,0.262824238
177,10,4,5,6,5,9,Allow a few,Allow a few,Allow a few,Austria,Female,45.0,False,0.575643196
178,8,6,7,9,6,7,Allow some,Allow some,Allow a few,Austria,Female,42.0,False,0.821873245
179,9,8,9,9,9,9,Allow some,Allow some,Allow a few,Austria,Female,90.0,False,0.249879095
180,7,6,5,7,8,10,Allow a few,Allow a few,Allow a few,Austria,Female,78.0,False,0.264681734
181,9,8,2,7,5,3,Allow many to come and live here,Allow some,Allow some,Austria,Female,77.0,False,0.141496488
182,9,9,3,4,3,10,Allow many to come and live here,Allow some,Allow a few,Austria,Male,67.0,False,0.34623540399999997
183,10,2,4,4,10,6,Allow a few,Allow a few,Allow a few,Austria,Female,62.0,False,0.18721153199999999
184,6,6,5,6,7,7,Allow some,Allow some,Allow some,Austria,Female,67.0,False,0.16707698699999998
185,9,7,4,8,7,8,Allow many to come and live here,Allow some,Allow some,Austria,Female,36.0,False,0.303115851
186,8,8,3,6,7,8,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Male,50.0,False,0.34221418
187,6,5,4,4,6,5,,,Allow none,Austria,Female,52.0,False,0.520477282
188,9,9,8,9,10,10,Allow some,Allow a few,Allow some,Austria,Female,16.0,False,0.387068646
189,9,8,4,6,8,8,Allow some,Allow a few,Allow a few,Austria,Female,74.0,False,0.358200071
190,6,7,3,7,6,7,Allow some,Allow some,Allow some,Austria,Male,38.0,False,0.17931355300000001
191,9,7,4,5,7,8,Allow some,Allow a few,Allow a few,Austria,Female,44.0,False,0.264681734
192,9,9,1,2,4,7,Allow a few,Allow a few,Allow a few,Austria,Female,83.0,False,0.384381307
193,8,3,3,2,3,4,Allow a few,Allow none,Allow none,Austria,Female,66.0,False,0.16707698699999998
194,6,7,3,2,3,5,Allow some,Allow some,Allow a few,Austria,Female,59.0,False,0.312996699
195,10,7,5,8,5,8,Allow a few,Allow none,Allow none,Austria,Female,71.0,False,0.303115851
196,7,6,7,8,8,7,Allow some,Allow a few,Allow a few,Austria,Female,39.0,False,0.27769567300000003
197,7,9,8,10,10,10,Allow some,Allow some,Allow some,Austria,Male,21.0,False,0.15146906400000001
198,10,5,5,5,5,8,Allow a few,Allow none,Allow none,Austria,Female,71.0,False,0.16707698699999998
199,8,7,7,8,6,7,Allow some,Allow a few,Allow a few,Austria,Female,38.0,False,0.404753556
200,10,5,0,3,7,6,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,24.0,False,0.358627105
201,8,7,6,5,4,5,Allow some,Allow a few,Allow a few,Austria,Male,73.0,False,0.264681734
202,7,5,1,7,8,5,Allow some,Allow some,Allow some,Austria,Male,66.0,True,0.49610624600000003
203,8,10,4,5,4,9,Allow some,Allow some,Allow some,Austria,Female,25.0,True,0.15146906400000001
204,7,7,6,6,6,7,Allow some,Allow a few,Allow a few,Austria,Male,23.0,False,0.14980075699999998
205,3,6,2,7,4,6,Allow many to come and live here,Allow some,Allow some,Austria,Male,70.0,True,0.537300091
206,8,5,5,8,5,8,Allow some,Allow some,Allow some,Austria,Male,47.0,False,0.463600064
207,10,9,5,7,7,9,Allow some,Allow some,Allow some,Austria,Male,25.0,False,0.154219477
208,9,9,9,9,10,8,Allow some,Allow a few,Allow a few,Austria,Female,68.0,False,0.16707698699999998
209,7,3,7,3,5,4,Allow none,Allow none,Allow none,Austria,Male,65.0,False,0.299601515
210,10,7,0,6,7,7,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,58.0,True,0.519353091
211,8,5,3,4,4,6,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,55.0,False,0.427544001
212,8,7,6,8,5,6,Allow some,Allow a few,Allow a few,Austria,Female,61.0,False,0.346984865
213,6,8,10,9,7,8,Allow none,Allow none,Allow none,Austria,Female,48.0,False,0.154378568
214,10,4,4,4,4,5,Allow none,Allow none,Allow none,Austria,Female,41.0,False,0.289815262
215,9,8,4,7,6,7,Allow many to come and live here,Allow some,Allow some,Austria,Female,60.0,False,0.17110709
216,7,7,3,5,6,6,Allow some,,,Austria,Male,70.0,False,0.43100790000000005
217,10,10,10,10,8,10,Allow many to come and live here,Allow a few,,Austria,Female,72.0,False,0.15146906400000001
